Job esco,Skill esco,Secteur1,Secteur2,Secteur3,Secteur4,Secteur5
textile chemist,"conduct textile testing operations
control textile process
design warp knit fabrics
design yarns
develop specifications of technical textiles
evaluate textile characteristics
maintain work standards
use textile finishing machine technologies",Professionals,Science and engineering professionals,Physical and earth science professionals,Chemists,chemist
aquaculture rearing technician,"assess feeding behaviour of larvae
carry out fish disease prevention measures
carry out hatchery production processes
condition broodstock
control aquatic production environment
cultivate plankton
culture aquaculture hatchery stocks
ensure aquaculture personnel health and safety
ensure compliance with aquaculture standards
feed broodstock
handle larval weaning process
induce spawning and fertilisation on aquaculture species
maintain aquaculture water quality in hatcheries
maintain hatchery equipment
maintain hatchery facilities
maintain hatchery records
maintain the production of juveniles at the nursery stage
manage capture broodstock operations
monitor fish health status
monitor fish mortality rates
monitor hatchery production
monitor water quality
preserve fish samples  for diagnosis
screen live fish deformities
treat fish diseases
use aquacultural heating equipment
use oxygenation equipment
use water disinfection equipment
write work-related reports","Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","Fishery workers, hunters and trappers",Aquaculture workers,aquaculture rearing technician
aquaculture hatchery technician,"carry out feeding operations
carry out hatchery production processes
carry out maintenance of aquaculture equipment
carry out waste water treatment
collect broodstock
condition broodstock
cultivate plankton
enforce sanitation procedures
ensure aquaculture personnel health and safety
induce spawning and fertilisation on aquaculture species
interpret scientific data to assess water quality
maintain hatchery records
maintain the production of juveniles at the nursery stage
manage animal biosecurity
manage capture broodstock operations
monitor feeding systems
monitor fish health status
monitor hatchery production
monitor larval growth
monitor water quality
operate hatchery recirculation system
preserve fish samples  for diagnosis
screen live fish deformities","Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","Fishery workers, hunters and trappers",Aquaculture workers,aquaculture hatchery technician
venture capitalist,"analyse business plans
analyse financial performance of a company
analyse financial risk
apply technical communication skills
assess financial viability
build business relationships
create a financial plan
decide on providing funds
make strategic business decisions
perform business analysis",Professionals,Business and administration professionals,Finance professionals,Financial and investment advisers,venture capitalist
"mining, construction and civil engineering machinery distribution manager","adhere to organisational guidelines
analyse supply chain trends
carry out inventory control accuracy
carry out statistical forecasts
communicate with shipment forwarders
create solutions to problems
develop financial statistics reports
ensure customs compliance
ensure regulatory compliance concerning distribution activities
handle carriers
have computer literacy
implement strategic planning
manage financial risk
manage freight payment methods
manage staff
minimise shipping cost
perform financial risk management in international trade
perform multiple tasks at the same time
perform risk analysis
plan transport operations
track shipments
track shipping sites",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers","Supply, distribution and related managers",logistics and distribution manager
court administrative officer,"assist judge
compile legal documents
handle case evidence
maintain logbooks
manage accounts
observe confidentiality
record court procedures
respond to enquiries",Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Legal, social and religious associate professionals",Legal and related associate professionals,court administrative officer
furniture shop manager,"adhere to organisational guidelines
apply health and safety standards
coordinate orders from various suppliers
ensure client orientation
ensure compliance with purchasing and contracting regulations
ensure correct goods labelling
evaluate spatial information
maintain relationship with customers
maintain relationship with suppliers
manage budgets
manage staff
manage theft prevention
maximise sales revenues
measure customer feedback
monitor customer service
negotiate buying conditions
negotiate sales contracts
obtain relevant licenses
order supplies
oversee promotional sales prices
perform procurement processes
place orders for household equipment
recruit employees
sell furniture
sell household goods
set sales goals
set up pricing strategies
study sales levels of products
supervise merchandise displays
use different communication channels",Managers,"Hospitality, retail and other services managers",Retail and wholesale trade managers,Retail and wholesale trade managers,shop manager
civil registrar,"act discreetly
check official documents
officiate civil partnerships
officiate weddings
register birth
register death
review civil documentation",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Legal secretaries,civil registrar
linen room attendant,"clean household linens
collect items for laundry service
comply with food safety and hygiene
handle linen in stock
maintain inventory of cleaning supplies
maintain linen operation
oversee guest laundry service",Elementary occupations,Cleaners and helpers,"Vehicle, window, laundry and other hand cleaning workers",Hand launderers and pressers,linen room attendant
laser marking machine operator,"apply precision metalworking techniques
ensure equipment availability
ensure necessary ventilation in machining
monitor automated machines
operate precision measuring equipment
perform test run
remove inadequate workpieces
remove processed workpiece
set up the controller of a machine
supply machine
tend laser marking machine
troubleshoot
verify laser beam measurement
wear appropriate protective gear",Craft and related trades workers,"Metal, machinery and related trades workers","Blacksmiths, toolmakers and related trades workers",Metal working machine tool setters and operators,laser marking machine operator
aircraft maintenance coordinator,"analyse the need for technical resources
apply airport standards and regulations
detect bottlenecks
determine maintenance schedules for airport equipment
identify airport safety hazards
manage airport development resources
manage airport workshops
manage human resources
perform resource planning
report airport security incidents
use computerised maintenance management systems
use technical documentation",Craft and related trades workers,"Metal, machinery and related trades workers",Machinery mechanics and repairers,Aircraft engine mechanics and repairers,aircraft maintenance coordinator
drug and alcohol addiction counsellor,"accept own accountability
apply quality standards in social services
apply socially just working principles
assess clients' drug and alcohol addictions
assess social service users' situation
assess the development of youth
build helping relationship with social service users
communicate professionally with colleagues in other fields
communicate with social service users
cooperate at inter-professional level
deliver social services in diverse cultural communities
demonstrate leadership in social service cases
encourage counselled clients to examine themselves
follow health and safety precautions in social care practices
have emotional intelligence
help clients make decisions during counselling sessions
listen actively
maintain a non-emotional involvement
maintain records of work with service users
maintain the trust of service users
manage social crisis
manage stress in the work place
organise relapse prevention
perform therapy sessions
prepare youths for adulthood
promote human rights
promote inclusion
promote social change
promote the safeguarding of young people
provide social counselling
refer social service users
relate empathetically
report on social development
respond to individuals' extreme emotions
support the positiveness of youths
undertake continuous professional development in social work
use motivational incentives in addiction counselling",Professionals,"Legal, social and cultural professionals",Social and religious professionals,Social work and counselling professionals,social counsellor
ship planner,"analyse ship operations
apply company policies
apply regulations on cargo transport operations
calculate the amount of cargo on a vessel
communicate with customers
comply with legal regulations
compose stowage plans
consider constraints in maritime shipping
develop shipping itineraries
ensure client orientation
ensure safe loading of goods according to stowage plan
follow ethical code of conduct in transport services
handle customer requests related to cargo
have computer literacy
implement cost-effective cargo handling strategies on ships
implement strategic planning
interpret graphical communication interfaces
interpret visual literacy
maintain voyage logs
manage ocean-going oil tankers
manage safety standards for inland water transport
manage shipment risks
match vessels to shipping routes
maximise efficiency of crane operations
measure ship tonnage
monitor the discharge of cargo
operate maritime communication equipment
operate radio equipment
operate scientific measuring equipment
operate stowage programmes
oversee shipment routing
plan transport operations
prepare documentation for international shipping
prepare visual data
read stowage plans
recruit employees
stay up-to-date with maritime transportation technology
supervise loading of cargo
supervise unloading of cargo
use different communication channels
use equipment for safe stowage
write work-related reports",Clerical support workers,Numerical and material recording clerks,Material-recording and transport clerks,Transport clerks,ship planner
foundry moulder,"construct cores
ensure core uniformity
insert core structures
maintain core parts
maintain cores
position core workpieces
pour molten metal into cores
provide pouring holes in cores
repair core defects
troubleshoot",Craft and related trades workers,"Metal, machinery and related trades workers","Sheet and structural metal workers, moulders and welders, and related workers",Metal moulders and coremakers,foundry operative
animal groomer,"advise on animal welfare
apply animal hygiene practices
apply safe work practices in a veterinary setting
bathe dogs
control animal movement
dry dog's coat for further treatment
groom animals
handle customer complaints
handle veterinary emergencies
manage animal biosecurity
monitor the welfare of animals
plan dog grooming work
provide facilities for animal grooming services
provide first aid to animals
style a dog's coat
treat animals ethically",Service and sales workers,Personal service workers,Other personal services workers,Pet groomers and animal care workers,animal care attendant
reprographics technician,"digitise documents
follow safety precautions in printing
handle scanning material safely
operate digital printers
operate printing machinery
operate scanner
produce scanned images
reproduce documents
scan photos
set colour profiles
supply machine
use microsoft office",Craft and related trades workers,Handicraft and printing workers,Printing trades workers,Printers,reprographics technician
block machine operator,"discharge cement
inspect industrial equipment
maintain moulds
operate concrete casting machine
operate concrete mixer truck
operate cubing machine
operate forklift
select mould types
use moulding techniques
write batch record documentation",Plant and machine operators and assemblers,Stationary plant and machine operators,Mining and mineral processing plant operators,"Cement, stone and other mineral products machine operators",block machine operator
human rights officer,"advise on legal decisions
conduct research interview
establish collaborative relations
facilitate official agreement
investigate human rights violations
promote human rights implementation
promote social awareness
speak different languages
support victims of human rights violations",Professionals,"Legal, social and cultural professionals",Legal professionals,Legal professionals not elsewhere classified,human rights officer
coking furnace operator,"extract materials from furnace
load materials into furnace
maintain furnace temperature
measure furnace temperature
monitor coke quenching
monitor gauge
operate furnace
operate heat treatment furnace
prevent damage in a furnace
troubleshoot",Plant and machine operators and assemblers,Stationary plant and machine operators,Chemical and photographic products plant and machine operators,Chemical products plant and machine operators,coking furnace operator
incinerator operator,"conduct inter-shift communication
ensure compliance with waste legislative regulations
maintain waste incinerator
measure furnace temperature
monitor incineration process
operate waste incinerator
wear appropriate protective gear",Technicians and associate professionals,Science and engineering associate professionals,Process control technicians,Incinerator and water treatment plant operators,incinerator operator
precast moulder,"cast concrete sections
dump batches
ensure mould uniformity
feed concrete mixer
maintain moulds
mix concrete
mix moulding and casting material
prevent casting adhesion
reinforce concrete
remove finished casts
settle concrete",Plant and machine operators and assemblers,Stationary plant and machine operators,Mining and mineral processing plant operators,"Cement, stone and other mineral products machine operators",precast moulder
chief conductor,"answer questions about the train transport service
apply tramway regulations
assist disable passengers
assist passengers in emergency situations
check carriages
check tickets throughout carriages
communicate clearly with passengers
communicate reports provided by passengers
communicate with customers
control the opening and closing of train doors
ensure implementation of safe driving practices
ensure passenger comfort
handle petty cash
handle stressful situations in the work place
help to control passenger behaviour during emergency situations
monitor train schedules
operate electronic payment terminals
operate railway communication systems
provide information on train routes
provide information to passengers
sell train tickets
speak different languages",Service and sales workers,Personal service workers,"Travel attendants, conductors and guides",Transport conductors,chief conductor
performance lighting designer,"adapt existing designs to changed circumstances
adapt to artists' creative demands
analyse a script
analyse music score
analyse the artistic concept based on stage actions
analyse the scenography
assess power needs
attend rehearsals
coach staff for running the performance
communicate during show
conduct costume research
contextualise artistic work
define artistic approach
design an artificial lighting system
develop design concept
develop design ideas cooperatively
draw up lighting plan
follow safety procedures when working at heights
keep up with trends
meet deadlines
monitor developments in technology used for design
monitor sociological trends
perform quality control of design during a run
plan act lighting
present artistic design proposals
prevent fire in a performance environment
propose improvements to artistic production
read lighting plans
research new ideas
safeguard artistic quality of performance
supervise plotting of stage lights
take measurements of performance space
understand artistic concepts
update design results during rehearsals
use communication equipment
use specialised design software
use technical documentation
verify feasibility
work ergonomically
work safely with chemicals
work safely with mobile electrical systems under supervision
work with respect for own safety",Professionals,Science and engineering professionals,"Architects, planners, surveyors and designers",Graphic and multimedia designers,performance lighting designer
jewellery designer,"adjust jewellery
build jewellery models
calculate value of gems
cast jewellery metal
clean jewellery pieces
collaborate with a technical staff in artistic productions
contextualise artistic work
create jewellery
cut gem stones
define artistic approach
develop jewellery designs
ensure conformance to jewel design specifications
examine gems
gather reference materials for artwork
heat jewellery metals
mark designs on metal pieces
mount stones in jewels
record jewel processing time
record jewel weight
repair jewellery
select gems for jewellery
select metals for jewellery
smoothen rough jewel parts
trade in jewellery
use jewellery equipment",Professionals,Science and engineering professionals,"Architects, planners, surveyors and designers",Product and garment designers,industrial designer
programme funding manager,"apply strategic thinking
find grants
lead a team
manage grant applications",Professionals,Business and administration professionals,Finance professionals,Financial and investment advisers,programme funding manager
cylindrical grinder operator,"apply precision metalworking techniques
dispose of cutting waste material
ensure equipment availability
monitor gauge
monitor moving workpiece in a machine
operate surface grinder
remove inadequate workpieces
remove processed workpiece
set up the controller of a machine
smooth burred surfaces
spot metal imperfections
supply machine
tend cylindrical grinder
wear appropriate protective gear",Plant and machine operators and assemblers,Stationary plant and machine operators,Metal processing and finishing plant operators,"Metal finishing, plating and coating machine operators",cylindrical grinder operator
hydropower engineer,"approve engineering design
design electric power systems
draw blueprints
examine engineering principles
manage engineering project
operate scientific measuring equipment
perform project management
perform risk analysis
perform scientific research
promote innovative infrastructure design
troubleshoot
use CAD software
use CAM software
use technical drawing software",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Civil engineers,civil engineer
leather goods hand cutting operator,,Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,Shoemakers and related workers,leather goods manual operator
projectionist,"adjust projector
apply health and safety standards
assist multimedia operator
check film reels
load film reels
operate projector
store film reels
use a telecine",Technicians and associate professionals,Information and communications technicians,Telecommunications and broadcasting technicians,Broadcasting and audiovisual technicians,audio-visual technician
library manager,"arrange interlibrary loans
buy new library items
confer with library colleagues
coordinate operational activities
liaise with colleagues
manage budgets
manage digital libraries
manage staff
negotiate library contracts
provide library information
recruit employees
supervise daily library operations
supervise work
train employees",Managers,Production and specialised services managers,Professional services managers,Professional services managers not elsewhere classified,library manager
broadcast technician,"calibrate electronic instruments
coordinate activities in audio recording studio
install low voltage wiring
maintain audiovisual equipment
maintain electrical equipment
maintain electronic equipment
manage sound quality
meet deadlines
monitor quality of broadcasts
operate audio equipment
operate electronic measuring instruments
select recording source
set up broadcast equipment
use audio reproduction software",Technicians and associate professionals,Information and communications technicians,Telecommunications and broadcasting technicians,Broadcasting and audiovisual technicians,broadcast technician
fruit and vegetables distribution manager,"adhere to organisational guidelines
analyse supply chain trends
carry out inventory control accuracy
carry out statistical forecasts
communicate with shipment forwarders
create solutions to problems
design indicators for food waste reduction
develop financial statistics reports
develop food waste reduction strategies
ensure customs compliance
ensure regulatory compliance concerning distribution activities
handle carriers
have computer literacy
implement strategic planning
manage financial risk
manage freight payment methods
manage staff
minimise shipping cost
perform financial risk management in international trade
perform multiple tasks at the same time
perform risk analysis
plan transport operations
track shipments
track shipping sites",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers","Supply, distribution and related managers",logistics and distribution manager
front of house manager,"assess cleanliness of areas
carry out end of day accounts
ensure health and safety of visitors
manage a team
manage staff
monitor guest access
monitor ticketing
negotiate health and safety issues with third parties
prevent fire in a performance environment
promote health and safety
react to emergency situations in a live performance environment
supervise event staff",Managers,Production and specialised services managers,Professional services managers,Professional services managers not elsewhere classified,front of house manager
medical transcriptionist,"apply grammar and spelling rules
apply organisational techniques
archive healthcare users' records
comply with legislation related to health care
edit dictated medical texts
execute working instructions
maintain healthcare user data confidentiality
manage digital archives
transcribe medical data
use electronic health records management system
use word processing software",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Medical secretaries,medical transcriptionist
irrigation technician,"compute irrigation pressure
ensure compliance with environmental legislation
install irrigation systems
keep competences about irrigation systems up-to-date
lay pipe installation
maintain irrigation controllers
maintain irrigation systems
maintain sprinkler systems",Craft and related trades workers,"Building and related trades workers, excluding electricians",Building finishers and related trades workers,Plumbers and pipe fitters,irrigation technician
knitting machine supervisor,"control textile process
ensure equipment availability
maintain work standards
manufacture knitted textiles
manufacture weft knitted fabrics
use warp knitting technologies",Plant and machine operators and assemblers,Stationary plant and machine operators,"Textile, fur and leather products machine operators",Weaving and knitting machine operators,knitting machine operator
sergeant,"advise superiors on military operations
defend human rights
ensure compliance with types of weapons
identify security threats
lead military troops
manage troop deployment
monitor military equipment use
train military troops",Armed forces occupations,Non-commissioned armed forces officers,Non-commissioned armed forces officers,Non-commissioned armed forces officers,sergeant
ticket issuing clerk,"apply numeracy skills
assist clients with special needs
carry out active selling
carry out order intake
carry out products preparation
communicate with customers
demonstrate products' features
ensure compliance with legal requirements
examine merchandise
guarantee customer satisfaction
handle personal identifiable information
have computer literacy
identify customer's needs
inform customers of activity changes
issue sales invoices
keep up to date on local events
maintain customer records
maintain customer service
maintain store cleanliness
monitor stock level
monitor ticketing
operate cash register
organise storage facilities
plan aftersales arrangements
prevent shoplifting
process booking
process payments
process refunds
provide customer follow-up services
provide customer guidance on product selection
quote prices
respond to customers' inquiries
sell tickets
stock shelves
upsell products
use different communication channels",Service and sales workers,Sales workers,Cashiers and ticket clerks,Cashiers and ticket clerks,ticket issuing clerk
singer,"analyse own performance
attend rehearsals
cope with stage fright
engage the audience emotionally
follow time cues
interact with an audience
interact with fellow actors
manage feedback
organise a repertoire
participate in music studio recordings
perform live
practise singing
sing
study roles from scripts
work independently as an artist
work with an artistic team",Professionals,"Legal, social and cultural professionals",Creative and performing artists,"Musicians, singers and composers",musician
aquaculture husbandry worker,"assist with vaccination procedures
carry out feeding operations
carry out maintenance of aquaculture equipment
carry out preparations for fish disease specialist
clean aquaculture stock units
collect biological data
collect broodstock
collect dead fish
collect fish samples for diagnosis
collect growth rate information
follow hygienic practices in fishery operations
follow safety precautions in fishery operations
identity aquaculture species
load equipment
maintain aquaculture containers
maintain aquaculture ponds
maintain aquaculture water quality
maintain aquaculture water quality in hatcheries
manure aquaculture ponds
measure the impact of specific aquaculture activity
measure water flow
monitor fish health status
monitor larval growth
monitor water quality
operate biological filtration
operate fish capture equipment
operate forklift
perform fish grading operations
prepare fish holding units
screen live fish deformities
stock fish
transport fish
unload equipment
use aquaculture heavy equipment
use oxygenation equipment
use water disinfection equipment
work in shifts","Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","Fishery workers, hunters and trappers",Aquaculture workers,aquaculture husbandry worker
flight operations officer,"communicate analytical insights
communicate verbal instructions
coordinate flight schedules
deal with air traffic issues
ensure compliance with civil aviation regulations
ensure flights run to schedule
identify airport safety hazards
implement airside safety procedures
make time-critical decisions
manage aircraft support systems
manage allocation of flight resources
manage aviation planning
manage budgets
organise aircraft maintenance
work in shifts",Technicians and associate professionals,Science and engineering associate professionals,Ship and aircraft controllers and technicians,Air traffic controllers,flight operations officer
avionics technician,"apply health and safety standards
apply soldering techniques
assemble electrical components
install electrical and electronic equipment
operate soldering equipment
read engineering drawings
read standard blueprints
solder electronics
test electronic units
troubleshoot
wear appropriate protective gear",Craft and related trades workers,Electrical and electronic trades workers,Electronics and telecommunications installers and repairers,Electronics mechanics and servicers,avionics technician
dip tank operator,"ensure equipment availability
remove inadequate workpieces
remove processed workpiece
supply machine
tend dip tank
wear appropriate protective gear",Plant and machine operators and assemblers,Stationary plant and machine operators,Metal processing and finishing plant operators,"Metal finishing, plating and coating machine operators",dip tank operator
fisheries assistant engineer,"coordinate fire fighting
extinguish fires
manage ship emergency plans
operate ship propulsion system
operate ship rescue machinery
prevent sea pollution
survive at sea in the event of ship abandonment
use maritime English",Craft and related trades workers,"Metal, machinery and related trades workers",Machinery mechanics and repairers,Agricultural and industrial machinery mechanics and repairers,fisheries assistant engineer
textile product developer,"conduct textile testing operations
decorate textile articles
design warp knit fabrics
design weft knitted fabrics
design woven fabrics
develop specifications of technical textiles
distinguish accessories
distinguish fabrics
draw sketches to develop textile articles
draw sketches to develop textile articles using softwares
maintain work standards
measure yarn count
use textile finishing machine technologies
use textile technique for hand-made products",Professionals,Science and engineering professionals,"Architects, planners, surveyors and designers",Product and garment designers,textile product developer
vessel assembly inspector,"conduct performance tests
create solutions to problems
ensure vessel compliance with regulations
inspect quality of products
inspect vessel manufacturing
manage health and safety standards
operate precision measuring equipment
read engineering drawings
read standard blueprints
use technical documentation
use testing equipment
write inspection reports",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Other craft and related workers,Product graders and testers (excluding foods and beverages),product assembly inspector
post office counter clerk,"assist customers
communicate with customers
deliver correspondence
handle financial transactions
issue sales invoices
operate cash register
process payments
satisfy customers
sell post office products",Clerical support workers,Customer services clerks,"Tellers, money collectors and related clerks",Bank tellers and related clerks,post office counter clerk
rolling stock assembler,"align components
apply health and safety standards
assemble metal parts
control compliance of railway vehicles regulations
ensure equipment availability
fasten components
inspect quality of products
read engineering drawings
read standard blueprints
troubleshoot
use power tools
use technical documentation
wear appropriate protective gear",Plant and machine operators and assemblers,Assemblers,Assemblers,Mechanical machinery assemblers,rolling stock assembler
dryer attendant,"adhere to organisational guidelines
adjust drying process to goods
apply GMP
apply HACCP
apply different roasting methods
apply requirements concerning manufacturing of food and beverages
be at ease in unsafe environments
carry out checks of production plant equipment
check processing parameters
collect samples for analysis
compare roasted grains to a standard
control steam flows
ensure public safety and security
ensure sanitation
follow hygienic procedures during food processing
follow production schedule
follow verbal instructions
follow written instructions
handle flammable substances
maintain industrial ovens
mark differences in colours
monitor temperature in manufacturing process of food and beverages
operate industrial ovens
secure goods
tend drying equipment
tend fans for machines",Plant and machine operators and assemblers,Stationary plant and machine operators,Food and related products machine operators,Food and related products machine operators,dryer attendant
beverage filtration technician,"adhere to organisational guidelines
administer chemicals for beverage clarification
apply GMP
apply HACCP
apply requirements concerning manufacturing of food and beverages
carry out checks of production plant equipment
clean food and beverage machinery
collect samples for analysis
filter liquids
lift heavy weights
manage carbonation levels
measure pH
operate grain cleaning machine
operate pumping equipment
perform carbonation processes",Plant and machine operators and assemblers,Stationary plant and machine operators,Food and related products machine operators,Food and related products machine operators,beverage filtration technician
aircraft cargo operations coordinator,"apply airport standards and regulations
apply company policies
apply numeracy skills
carry out navigational calculations
conduct quality assurance checks on aircraft cargo
create solutions to problems
ensure client orientation
ensure public safety and security
follow airport safety procedures
identify airport safety hazards
manage staff
manage warehouse inventory
manage warehouse operations
monitor security procedures in warehouse operations
operate scientific measuring equipment
operate warehouse record systems
plan procedures for cargo operations
supervise loading of cargo
supervise unloading of cargo
work in an aviation team",Clerical support workers,Numerical and material recording clerks,Material-recording and transport clerks,Transport clerks,aircraft cargo operations coordinator
therapeutic radiographer,,therapeutic radiographer,therapeutic radiographer,,,
coppersmith,"apply precision metalworking techniques
apply preliminary treatment to workpieces
apply smithing techniques
assess suitability of metal types for specific application
cast metal
cut metal products
ensure correct metal temperature
manipulate copper
manipulate metal
mark processed workpiece
operate precision measuring equipment
produce customised products
smooth burred surfaces
wear appropriate protective gear
work in metal manufacture teams",Craft and related trades workers,"Metal, machinery and related trades workers","Sheet and structural metal workers, moulders and welders, and related workers",Sheet-metal workers,coppersmith
meat and meat products shop manager,"adhere to organisational guidelines
apply health and safety standards
ensure client orientation
ensure compliance with purchasing and contracting regulations
ensure correct goods labelling
handle sensitive products
maintain inventory of meat products
maintain relationship with customers
maintain relationship with suppliers
manage budgets
manage staff
manage theft prevention
manufacture ingredients
maximise sales revenues
measure customer feedback
monitor customer service
negotiate buying conditions
negotiate sales contracts
obtain relevant licenses
order supplies
oversee promotional sales prices
perform procurement processes
recruit employees
set sales goals
set up pricing strategies
study sales levels of products
supervise merchandise displays
use different communication channels",Managers,"Hospitality, retail and other services managers",Retail and wholesale trade managers,Retail and wholesale trade managers,shop manager
pultrusion machine operator,"consult technical resources
control temperature
feed glass fibre into pultrusion machine
monitor automated machines
monitor gauge
monitor processing environment conditions
optimise production processes parameters
set up the controller of a machine
troubleshoot
use personal protection equipment",Plant and machine operators and assemblers,Stationary plant and machine operators,"Rubber, plastic and paper products machine operators",Plastic products machine operators,pultrusion machine operator
asphalt laboratory technician,"apply safety procedures in laboratory
check quality of raw materials
inspect asphalt
inspect construction supplies
run laboratory simulations
supervise laboratory operations
supervise site maintenance
test concrete
use safety equipment in construction
write inspection reports",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Chemical engineering technicians,chemical engineering technician
brigadier,"analyse potential threats against national security
defend human rights
devise military tactics
ensure compliance with policies
ensure public safety and security
maintain operational communications
manage administrative systems
manage military logistics
manage staff
manage troop deployment
perform resource planning",Armed forces occupations,Commissioned armed forces officers,Commissioned armed forces officers,Commissioned armed forces officers,brigadier
roadside vehicle technician,"carry out repair of vehicles
carry out repairs and maintenance of vehicle bodies
communicate with customers
drive vehicles
execute working instructions
identify vehicles service requirements
maintain motorcycle records
maintain vehicle records
organise vehicle breakdown support
perform manual work autonomously
perform technical tasks with great care
respond to customers' inquiries
use different communication channels",Craft and related trades workers,"Metal, machinery and related trades workers",Machinery mechanics and repairers,Motor vehicle mechanics and repairers,roadside vehicle technician
ICT research manager,"apply statistical analysis techniques
apply system organisational policies
conduct literature research
conduct qualitative research
conduct quantitative research
conduct scholarly research
innovate in ICT
manage ICT project
manage staff
monitor ICT research
monitor technology trends
plan research process
write research proposals",Managers,Administrative and commercial managers,"Sales, marketing and development managers",Research and development managers,research and development manager
fibreglass machine operator,"consult technical resources
control glass fibres flow
extract products from moulds
feed fibreglass machine
feed hoppers
monitor automated machines
monitor gauge
monitor processing environment conditions
optimise production processes parameters
remove air bubbles from fibreglass
set up the controller of a machine
tend fibreglass machine
trim excess material
troubleshoot
wear appropriate protective gear",Plant and machine operators and assemblers,Stationary plant and machine operators,"Rubber, plastic and paper products machine operators",Plastic products machine operators,fibreglass machine operator
rescue diver,"apply crisis management
assist in maritime rescue operations
check diving equipment
comply with legal requirements for diving operations
comply with the planned time for the depth of the dive
coordinate rescue missions
deal with pressure from unexpected circumstances
display warnings around dive site
dive with scuba equipment
ensure diving operations conform with plan
ensure health and safety of dive teams
handle stressful situations in the work place
implement dive plans
interrupt diving operations when necessary
maintain diving equipment
perform diving interventions
perform search and rescue missions
provide first aid
react calmly in stressful situations
tolerate stress",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Other craft and related workers,Underwater divers,rescue diver
government minister,"analyse legislation
apply crisis management
brainstorm ideas
make legislative decisions
manage government policy implementation
perform political negotiation
prepare legislation proposition
present legislation proposition",Managers,"Chief executives, senior officials and legislators",Legislators and senior officials,Legislators,government minister
textile quality inspector,"check quality of products in textile production line
conduct textile testing operations
control textile process
define data quality criteria
distinguish accessories
distinguish fabrics
ensure quality assurance standards for vehicles
evaluate textile characteristics
maintain work standards
manage quality of leather throughout the production process
measure yarn count
oversee quality control
test physical properties of textiles",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Other craft and related workers,Product graders and testers (excluding foods and beverages),product quality inspector
sewerage cleaner,"apply health and safety standards
clean sewerage systems
ensure compliance with legal requirements
ensure equipment maintenance
handle chemical cleaning agents
inspect sewerage systems
manage waste
operate pumps
operate sumps
perform cleaning activities in an environmentally friendly way
use personal protection equipment",Elementary occupations,Cleaners and helpers,"Vehicle, window, laundry and other hand cleaning workers",Other cleaning workers,sewerage cleaner
design and applied arts vocational teacher,"adapt teaching to student's capabilities
adapt training to labour market
apply intercultural teaching strategies
apply teaching strategies
assess students
assist students in their learning
assist students with equipment
develop course outline
facilitate teamwork between students
give constructive feedback
guarantee students' safety
maintain students' discipline
manage student relationships
monitor developments in field of expertise
perform classroom management
prepare lesson content
provide lesson materials
teach design and applied arts principles
work in vocational school
work with virtual learning environments",Professionals,Teaching professionals,Vocational education teachers,Vocational education teachers,vocational teacher
medical laboratory manager,"apply safety procedures in laboratory
arrange equipment repairs
develop project schedule
interpret medical images
interpret medical results
maintain medical laboratory equipment
manage budgets
manage health and safety standards
manage inventory
manage schedule of tasks
manage staff
plan schedule
provide test results to medical staff
supervise equipment
supervise laboratory operations
supervise staff",Managers,Production and specialised services managers,Professional services managers,Professional services managers not elsewhere classified,medical laboratory manager
director of photography,"adapt designers’ work to the performance venue
adapt to type of media
analyse a script
consult with production director
design lighting
develop creative ideas
ensure visual quality of the set
finish project within budget
follow work schedule
study media sources
supervise camera crew
supervise sound production
translate artistic concepts to technical designs
watch scenes
work with motion picture editing team
work with pre-production team",Professionals,"Legal, social and cultural professionals",Creative and performing artists,"Film, stage and related directors and producers",art director
medical goods specialised seller,"advise on medical products
apply numeracy skills
carry out active selling
carry out order intake
carry out products preparation
check for medication expiry terms
demonstrate products' features
ensure compliance with legal requirements
examine merchandise
guarantee customer satisfaction
identify customer's needs
issue sales invoices
maintain adequate medication storage conditions
maintain store cleanliness
monitor stock level
operate cash register
organise product display
organise storage facilities
plan aftersales arrangements
prevent shoplifting
process refunds
provide customer follow-up services
provide customer guidance on product selection
provide medication information
stock shelves
use different communication channels",Service and sales workers,Sales workers,Shop salespersons,Shop sales assistants,specialised seller
